POSTAL_CODE,COUNTRY_CODE,latitude,longitude,station_code,date,day_flag,forecast_init_datetime,phrase_short,phrase_long,phrase_code,enhanced_phrase_code_short,enhanced_phrase_code_long,weather_icon,cloud_cover_avg,degree_days_cooling,degree_days_effective,degree_days_freezing,degree_days_growing,degree_days_heating,evapotranspiration_lwe_total,humidity_relative_avg,humidity_relative_max,humidity_relative_min,has_ice,ice_lwe_total,ice_probability,index_uv_avg,minutes_of_ice_total,minutes_of_precipitation_total,minutes_of_rain_total,minutes_of_snow_total,minutes_of_sun_total,has_precipitation,precipitation_lwe_total,precipitation_intensity_max,precipitation_probability,precipitation_type_desc_predominant,has_rain,rain_lwe_total,rain_probability,has_snow,snow_total,snow_lwe_total,snow_liquid_ratio_accuweather_avg,snow_probability,snow_drifting_intensity_max,snow_type_desc_predominant,solar_irradiance_total,temperature_avg,temperature_max,temperature_min,temperature_dew_point_avg,temperature_dew_point_max,temperature_dew_point_min,temperature_heat_index_avg,temperature_heat_index_max,temperature_heat_index_min,temperature_realfeel_avg,temperature_realfeel_max,temperature_realfeel_min,temperature_realfeel_shade_avg,temperature_realfeel_shade_max,temperature_realfeel_shade_min,temperature_wetbulb_avg,temperature_wetbulb_max,temperature_wetbulb_min,temperature_wetbulb_globe_avg,temperature_wetbulb_globe_max,temperature_wetbulb_globe_min,temperature_wind_chill_avg,temperature_wind_chill_max,temperature_wind_chill_min,thunderstorm_probability,wind_direction_avg,wind_direction_predominant,wind_gust_direction_avg,wind_gust_avg,wind_gust_max,wind_gust_min,wind_speed_avg,wind_speed_max,wind_speed_min
87365,US,35.522,-108.140,NMMT12,2023-04-22,D,2023-04-20T19:04:31Z,Sunshine; breezy in the p.m.,Sunny to partly cloudy; breezy in the afternoon,256,656,656,2,null,0.00,12.60,0.00,0.00,11.25,3.05000,35.43,46.78,28.41,null,0.00000,0,0.00,0,0,0,0,null,null,0.00000,null,1,null,null,0.00000,1,null,0.0000,0.00000,0.00,0,None,None,null,7.08,9.73,2.62,-7.20,-7.11,-7.83,4.77,7.51,0.16,5.55,7.84,0.79,2.17,4.45,-1.09,1.70,3.07,-0.92,7.08,9.73,2.62,3.92,6.74,-0.59,0,310.0,0.0,299.0,11.62,8.20,4.92,5.36,6.71,3.13
88063,US,31.811,-106.593,NMSP,2023-04-22,D,2023-04-20T19:04:55Z,Plenty of sunshine,Plenty of sunshine,600,1,1,1,3.00,7.09,0.00,0.00,15.42,0.00,6.35000,9.61,15.77,6.68,null,0.00000,0,0.00,0,0,0,0,null,null,0.00000,null,1,null,null,0.00000,1,null,0.0000,0.00000,0.00,0,None,None,null,25.42,31.00,13.48,-9.18,-7.89,-12.22,23.53,28.35,11.29,27.56,31.94,15.17,24.04,29.13,13.13,9.98,12.32,4.12,17.34,20.58,9.53,25.42,31.00,13.48,0,329.0,0.0,263.0,8.49,5.11,2.24,3.13,4.47,1.79
88039,US,33.316,-108.883,NMGL,2023-04-22,D,2023-04-20T19:04:55Z,Sunshine; breezy in the p.m.,Sunshine; breezy in the afternoon,69,35,35,1,8.00,4.74,0.00,0.00,13.07,0.00,6.10000,16.06,29.33,11.38,null,0.00000,0,0.00,0,0,0,0,null,null,0.00000,null,1,null,null,0.00000,1,null,0.0000,0.00000,0.00,0,None,None,null,23.07,27.60,12.28,-4.14,-4.17,-5.17,21.81,26.22,10.33,24.32,28.74,12.45,21.27,25.40,10.72,10.02,11.86,5.06,16.33,18.93,9.29,23.07,27.60,12.28,0,283.0,0.0,257.0,10.73,6.29,3.13,4.47,6.26,2.68
87730,US,36.085,-104.255,NM7730,2023-04-23,D,2023-04-20T19:04:55Z,Increasingly windy,Increasingly windy with variable cloudiness,67,9715,9715,6,null,0.00,12.14,0.00,0.00,10.56,2.29000,52.02,73.92,42.74,null,0.00000,0,0.00,0,0,0,0,null,null,0.00000,null,24,null,null,0.00000,24,null,0.0000,0.00000,0.00,0,None,None,null,7.77,12.45,-0.27,-0.91,0.61,-4.39,5.96,10.87,-2.31,4.20,8.33,-4.81,2.18,7.38,-5.69,3.71,6.76,-1.56,6.61,9.92,-0.27,5.56,12.45,-4.66,4,166.0,0.0,168.0,9.83,8.08,4.92,6.71,8.49,4.02
88122,US,33.842,-103.772,NM8122,2023-04-22,D,2023-04-20T19:04:55Z,Breezy in the morning; sunny,"Breezy in the morning; otherwise, pleasant with plenty of sunshine",600,51,51,1,9.00,0.00,2.04,0.00,6.46,1.87,4.57000,20.55,32.28,16.38,null,0.00000,0,0.00,0,0,0,0,null,null,0.00000,null,3,null,null,0.00000,3,null,0.0000,0.00000,0.00,0,None,None,null,16.46,20.66,7.47,-6.00,-5.56,-8.17,14.69,19.21,5.12,17.23,23.01,3.46,13.94,19.24,2.18,6.67,8.81,1.78,11.89,15.01,7.13,16.18,20.66,4.19,0,22.0,0.0,15.0,11.18,8.69,6.26,4.02,5.81,2.68
87052,US,35.516,-106.358,NMSD,2023-04-22,D,2023-04-20T19:04:55Z,Breezy with partial sunshine,Breezy with partial sunshine,63,2947,2947,3,null,0.00,3.60,0.00,5.12,3.21,4.06000,28.72,49.52,20.98,null,0.00000,0,0.00,0,0,0,0,null,null,0.00000,null,2,null,null,0.00000,2,null,0.0000,0.00000,0.00,0,None,None,null,15.12,19.48,5.58,-3.02,-3.33,-4.22,13.43,18.03,3.48,15.27,20.24,5.11,12.47,17.21,3.22,6.80,8.87,1.78,11.31,13.96,5.58,14.78,19.48,3.40,0,274.0,0.0,302.0,12.07,8.23,3.13,5.36,6.71,2.68
87121,US,35.081,-106.713,NMWA,2023-04-22,D,2023-04-20T19:04:55Z,Partly sunny and nice,Partly sunny and nice,63,3637,3637,3,null,0.21,0.00,0.00,8.54,0.00,4.57000,20.03,37.41,13.10,null,0.00000,0,0.00,0,0,0,0,null,null,0.00000,null,1,null,null,0.00000,1,null,0.0000,0.00000,0.00,0,None,None,null,18.54,23.19,8.71,-5.39,-4.56,-6.72,16.98,21.91,6.61,20.43,25.66,8.99,16.89,21.07,7.09,7.84,9.69,3.24,13.49,15.95,8.71,18.43,23.19,7.32,0,306.0,0.0,335.0,11.18,5.74,2.68,3.58,6.26,2.24
88213,US,33.392,-103.712,NM8213,2023-04-22,D,2023-04-20T19:04:55Z,Breezy in the morning; sunny,"Breezy in the morning; otherwise, pleasant with plenty of sunshine",600,51,51,1,8.00,0.70,0.00,0.00,9.03,0.00,5.08000,17.24,24.65,14.06,null,0.00000,0,0.00,0,0,0,0,null,null,0.00000,null,3,null,null,0.00000,3,null,0.0000,0.00000,0.00,0,None,None,null,19.03,22.79,10.71,-6.09,-5.72,-8.83,17.44,21.49,8.48,19.87,25.26,7.49,16.77,21.45,6.28,7.84,9.69,3.36,13.41,16.44,7.13,19.03,22.79,10.71,0,3.0,0.0,352.0,10.28,8.24,5.36,4.47,5.81,2.24
88422,US,36.305,-103.973,NM8422,2023-04-23,D,2023-04-20T18:04:44Z,Increasingly windy,Becoming windier and cool with variable clouds,67,11005,11005,6,null,0.00,11.52,0.00,0.00,10.11,2.29000,50.65,73.40,39.71,null,0.00000,0,0.00,0,0,0,0,null,null,0.00000,null,21,null,null,0.00000,21,null,0.0000,0.00000,0.00,0,None,None,null,8.22,13.27,-0.28,-0.83,1.00,-4.50,6.42,11.68,-2.34,5.14,10.28,-3.99,2.99,8.41,-5.14,3.94,7.05,-1.62,7.03,9.99,-0.28,6.14,13.27,-4.42,3,166.0,0.0,165.0,11.18,9.14,4.47,6.26,8.05,3.58
87936,US,32.757,-107.265,NM7933,2023-04-22,D,2023-04-20T18:04:44Z,Sunny; breezy in the p.m.,Plenty of sunshine; breezy in the afternoon,600,35,35,1,5.00,5.87,0.00,0.00,14.20,0.00,6.60000,13.01,24.33,8.90,null,0.00000,0,0.00,0,0,0,0,null,null,0.00000,null,1,null,null,0.00000,1,null,0.0000,0.00000,0.00,0,None,None,null,24.20,28.83,12.32,-6.31,-5.94,-8.06,22.65,26.93,10.24,25.53,30.06,11.92,22.37,26.69,10.33,10.02,11.97,4.47,16.74,19.44,8.87,24.20,28.83,12.32,0,159.0,0.0,252.0,9.83,5.95,3.13,4.02,6.26,2.68
87083,US,35.648,-106.338,NMCCH,2023-04-23,D,2023-04-20T18:04:44Z,A shower in the p.m.; breezy,"Some sun, then turning cloudy; breezy in the afternoon with a stray shower",265,13461,13461,6,null,0.00,3.19,0.00,5.43,2.90,3.30000,35.30,59.98,24.18,null,0.00000,0,0.00,0,null,null,0,124,null,0.22860,Light,40,Rain,null,0.22860,40,null,0.0000,0.00000,0.00,0,None,None,null,15.43,20.07,5.88,0.62,0.11,-1.33,13.95,18.77,4.09,15.42,20.27,4.12,13.12,18.04,2.79,7.84,9.86,2.89,11.78,14.38,5.88,15.04,20.07,3.41,8,172.0,0.0,233.0,9.39,6.80,5.36,4.47,6.26,3.13
88439,US,35.469,-104.529,NM8439,2023-04-22,D,2023-04-20T18:04:44Z,Partly sunny,Partly sunny,63,1027,1027,3,null,0.00,8.20,0.00,0.94,7.39,3.30000,27.25,37.44,23.27,null,0.00000,0,0.00,0,0,0,0,null,null,0.00000,null,5,null,null,0.00000,5,null,0.0000,0.00000,0.00,0,None,None,null,10.94,14.03,4.77,-6.95,-6.22,-8.67,8.80,12.09,2.28,10.59,15.53,1.25,7.27,10.72,-0.22,3.75,5.53,0.14,8.43,9.85,4.77,9.96,14.03,1.27,0,98.0,0.0,91.0,9.83,7.86,6.26,4.92,5.36,4.02
87063,US,34.596,-106.034,NMWIL,2023-04-28,D,2023-04-20T17:04:50Z,Plenty of sunshine,Plenty of sunshine,600,1,1,1,3.00,0.00,3.49,0.00,5.27,3.06,5.33000,17.18,43.72,8.17,null,0.00000,0,0.00,0,0,0,0,null,null,0.00000,null,0,null,null,0.00000,0,null,0.0000,0.00000,0.00,0,None,None,null,15.27,22.44,3.74,-10.76,-7.58,-15.94,13.31,21.00,1.31,14.84,21.81,1.09,11.97,20.07,-0.64,4.97,8.57,-0.22,10.34,14.69,3.74,14.47,22.44,0.38,0,276.0,0.0,277.0,12.96,11.02,6.71,6.26,7.15,4.02
87558,US,36.709,-105.407,NMRR,2023-04-26,D,2023-04-20T17:04:50Z,Cloudy and chilly,Cloudy and chilly,72,25148,25148,7,null,0.00,15.04,0.00,0.00,14.19,1.52000,46.43,67.37,33.77,null,0.00000,0,0.00,0,0,0,0,4,null,0.00000,null,25,null,null,0.00000,25,null,0.0000,0.00000,0.00,25,None,None,8555.57,4.14,8.11,-0.31,-5.43,-5.67,-8.01,1.82,5.86,-2.52,3.64,8.40,-2.94,1.78,6.51,-3.61,0.21,2.42,-2.15,4.14,8.11,-0.31,1.77,6.65,-3.74,4,72.0,0.0,72.0,4.92,3.97,1.79,2.68,3.13,1.34
